ID,month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,debt_ratio,credit_per_year_of_age,term_to_age_ratio,children_income_ratio,risk_score,bad_client_risk_score
1,1,7000,12,39,male,Secondary special education,Cell phones,0,2,21000,Another,0,0,0.3333333333333333,179.48717948717947,0.3076923076923077,0.0,0.35714285714285715,False
2,1,19000,6,20,male,Secondary special education,Household appliances,1,2,17000,Another,3,1,1.1176470588235294,950.0,0.3,1.1176470588235294,0.8571428571428571,True
3,1,29000,12,23,female,Secondary special education,Household appliances,0,2,31000,Another,2,0,0.9354838709677419,1260.8695652173913,0.5217391304347826,0.0,0.6428571428571429,True
4,1,10000,12,30,male,Secondary special education,Cell phones,1,2,31000,Unmarried,3,1,0.3225806451612903,333.3333333333333,0.4,0.3225806451612903,0.21428571428571427,False
5,1,14500,12,25,female,Higher education,Cell phones,0,2,26000,Married,0,1,0.5576923076923077,580.0,0.48,0.0,0.21428571428571427,False
6,1,32500,24,47,female,Secondary special education,Furniture,0,2,26000,Married,0,1,1.25,691.4893617021277,0.5106382978723404,0.0,0.35714285714285715,False
7,1,8000,3,23,male,Higher education,Computers,0,2,21000,Another,0,1,0.38095238095238093,347.82608695652175,0.13043478260869565,0.0,0.35714285714285715,False
8,1,20000,10,25,female,Higher education,Household appliances,0,0,33000,Married,2,1,0.6060606060606061,800.0,0.4,0.0,0.35714285714285715,False
9,1,26000,6,21,female,Secondary special education,Cell phones,0,0,31000,Another,2,1,0.8387096774193549,1238.095238095238,0.2857142857142857,0.0,0.5,False
10,1,15000,24,25,female,Secondary special education,Household appliances,1,2,26000,Another,3,0,0.5769230769230769,600.0,0.96,0.5769230769230769,0.35714285714285715,False
11,1,30000,12,32,female,Secondary special education,Household appliances,1,2,18000,Another,0,1,1.6666666666666667,937.5,0.375,1.6666666666666667,0.7142857142857143,True
12,1,30500,12,38,male,Secondary special education,Cell phones,1,2,21000,Married,1,1,1.4523809523809523,802.6315789473684,0.3157894736842105,1.4523809523809523,0.35714285714285715,False
